da_price,Long
18.92,13.24
5.9,-7.27
12.83,11.17
13.76,-3.59
17.95,0.58
28.11,1.08
30.0,8.74
21.5,6.99
10.68,5.49
20.18,5.26
35.72,11.06
48.06,19.0
50.14,5.41
34.69,-4.74
39.84,11.42
44.1,11.17
44.7,10.5
42.92,10.66
40.15,11.61
52.51,20.25
93.3,47.66
120.03,55.6
135.52,61.91
136.48,63.61
129.04,72.4
125.7,63.83
125.72,99.68
124.65,56.21
130.11,106.44
139.5,87.81
153.4,97.27
153.15,94.84
146.66,106.4
130.6,107.76
120.62,61.18
117.89,31.03
118.56,40.25
103.88,39.38
95.18,33.16
89.94,33.84
87.67,35.17
84.06,34.08
92.25,47.0
100.14,40.76
119.27,68.29
127.28,55.72
132.97,19.65
130.52,41.06
123.2,78.38
113.51,44.02
